category,count,sample_titles
healthy-eating-pyramid,1,Healthy Eating Pyramid
signup,1,Sign up
giving,1,Support Harvard Chan School
copyright-issue,1,Copyright issue
clean-eating,1,Clean Eating
gluten-free-diet-weight-loss,1,Diet Review: Gluten-Free for Weight Loss
dash-diet,1,Diet Review: DASH
intermittent-fasting,1,Diet Review: Intermittent Fasting for Weight Loss
intuitive-eating,1,Intuitive Eating
mediterranean-diet,1,Diet Review: Mediterranean Diet
mindful-eating,1,Mindful Eating
kale,1,Kale
yogurt,1,Yogurt
superfoods,1,Superfoods or Superhype?
avocados,1,Avocados
aquatic-foods,1,Aquatic Foods
brussels-sprouts,1,Brussels Sprouts
chia-seeds,1,Chia Seeds
chickpeas-garbanzo-beans,1,Chickpeas (Garbanzo Beans)
dark-chocolate,1,Dark Chocolate
eggs,1,Eggs
seaweed,1,Seaweed
sweet-potatoes,1,Sweet Potatoes
vinegar,1,Vinegar
winter-squash,1,Winter Squash
workout-supplements,1,Workout Supplements
2018,1,How Meat Is Cooked May Affect Risk of Type 2 Diabetes
2015,1,WHO report says eating processed meat is carcinogenic: Understanding the findings
gluten,1,Gluten: A Benefit or Harm to the Body?
2017,1,A healthy summer cookout
soy,1,Straight Talk About Soy
core,1,A critical examination of the available data sources for estimating meat and protein consumption in the USA
animalveterinary,1,FDA's Strategy on Antimicrobial Resistance - Questions and Answers DECEMBER 2013
resources,1,Protein Scorecard
green-lentil-hummus-herbs-olives,1,Green Lentil Hummus with Herbs and Olives
customizable-stuffed-peppers,1,Endlessly Customizable Stuffed Peppers
wild-mushroom-soup-with-soba,1,Wild Mushroom Soup with Soba
braised-oyster-mushrooms-coconut-macadamia,1,"Braised Oyster Mushrooms, Coconut, and Macadamia"
butternut-squash-soup-recipe,1,Butternut Squash Soup
cauliflower-walnut-soup,1,Cauliflower and Walnut Soup
endive-salad-with-citrus-walnut-dressing,1,Endive Salad with Citrus Walnut Dressing
marinated-shiitake-mushroom-and-cucumber-salad,1,Marinated Shiitake Mushroom and Cucumber Salad
pan-roasted-wild-mushrooms-with-coffee-and-hazelnuts,1,Pan Roasted Wild Mushrooms with Coffee and Hazelnuts
quick-pickled-beets-fennel-recipe,1,Quick-Pickled Beets & Fennel
tarragon-succotash,1,Tarragon Succotash
vegetable-stock-recipe,1,Vegetable Stock
vegetarian-shepherds-pie-recipe,1,Vegetarian Shepherd’s Pie
arugula-watermelon-feta-and-mint-salad-with-balsamic-vinaigrette,1,"Arugula, watermelon, feta, and mint salad with balsamic vinaigrette"
almond-coconut-macaroons,1,Almond Coconut Macaroons
strawberry-rhubarb-crisp,1,Strawberry Rhubarb Crisp
barley-roasted-portobello-and-fennel-salad,1,Barley Roasted Portobello and Fennel Salad
farro-risotto-walnut-pesto,1,Farro Risotto with Walnut Pesto
farro-roasted-confetti-vegetables,1,Farro with Confetti Vegetables
oatmeal-roti,1,Oatmeal and Onion Roti
rigatoni-fresh-basil-pesto-corn-zucchini,1,"Pasta with fresh basil pesto, corn, and zucchini"
quinoa-chia-edamame-veggie-burger,1,Quinoa Chia Edamame Veggie Burger
quinoa-enchilada-casserole,1,Quinoa Enchilada Casserole
three-green-wheat-berry-salad-with-mushroom-bacon-recipe,1,Three-Green & Wheat Berry Salad with Mushroom “Bacon”
greek-skordalia,1,"Greek Skordalia (Almond, Bread, and Garlic Sauce)"
walnut-pesto,1,Walnut Pesto
white-bean-and-kale-hummus,1,White Bean and Kale Hummus
crunchy-roasted-chickpeas,1,Crunchy Roasted Chickpeas
curried-red-lentil-soup,1,Curried Red Lentil Soup
french-style-lentils,1,French Style Lentils
sprouted-lentils,1,Sprouted Lentils
sprouted-lentil-cabbage-celery-slaw,1,"Sprouted Lentil, Cabbage, and Celery Slaw"
crispy-pan-seared-white-fish-walnut-romesco-pea-shoot-salad,1,Crispy Pan Seared White Fish with Walnut Romesco and Pea Shoot Salad
miso-marinated-salmon-grilled-alder-wood,1,Miso-marinated salmon grilled on alder wood
shrimp-red-curry-crispy-sprouted-lentils,1,Shrimp with Red Curry and Crispy Sprouted Lentils
olive-oil-dressing-with-chicken-walnuts-recipe,1,Olive Oil Dressing (Stuffing) with Chicken & Walnuts
stir-fried-chicken,1,"Stir Fried Chicken with Celery, Chiles, and Toasted Macadamia Nuts and Cashews in Lettuce Cups"
moroccan-chicken-stew-with-apricots,1,Moroccan Chicken Stew with Apricots
roasted-tomatoes-stuffed-goat-cheese-garlic-basil,1,"Roasted tomatoes stuffed with goat cheese, garlic, and basil"
alcohol,1,Alcohol
chronic-disease,1,Chronic Disease
calcium,1,Calcium
vitamin-d,1,Vitamin D
el-plato-para-comer-saludable-para-ninos,1,El Plato para Comer Saludable para Niños
chloride,1,Chloride
iodine,1,Iodine
potassium,1,Potassium
cdsr,1,BMJ
articles,1,A comprehensive review on salt and health and current experience of worldwide salt reduction programmes
process,1,Paris Agreement
EA3ZW-Uhgcw,1,View the recorded event
